"CCode","CName","Code","PSname","PSaddress","lon","lat"
"A01","Chung Wan","A0101","Joint Professional Centre","Unit 1, G/F, The Center, 99 Queen's Road Central, Central, Hong Kong",114.1547235,22.2846159
"A01","Chung Wan","A0102","Hong Kong Visual Arts Centre","4/F, 7A Kennedy Road, Central, Hong Kong",114.1593711,22.2767416
"A02","Mid Levels East","A0201","Raimondi College","2 Robinson Road, Hong Kong",114.1534215,22.2783056
"A03","Castle Road","A0301","Hong Kong True Light Kindergarten (Caine Road)","G/F-2/F, 75 Caine Road, Hong Kong",114.151935,22.2816134
"A03","Castle Road","A0302","Centre for Food Safety (Hospital Road Office), Food and Environmental Hygiene Department","4 Hospital Road, Hong Kong",114.1470245,22.2838566
"A04","Peak","A0401","Hong Kong Park Sports Centre","29 Cotton Tree Drive, Central, Hong Kong",114.1593161,22.2772895
"A04","Peak","A0402","German Swiss International School Peak Campus","Middle Building, German Swiss International School Peak Campus, 22 Guildford Road, The Peak, Hong Kong",114.160906,22.2655664
"A05","University","A0501","Sai Ying Pun Community Complex Community Hall","3/F, Sai Ying Pun Community Complex, 2 High Street, Sai Ying Pun, Hong Kong",114.1440843,22.284894
"A06","Kennedy Town & Mount Davis","A0601","HKYWCA Western District Integrated Social Service Centre","Flat A, 1/F, Block 1, Centenary Mansion, 9-15 Victoria Road, Western District, Hong Kong",114.1257545,22.2819131
"A07","Kwun Lung","A0701","Smithfield Sports Centre","4/F, Smithfield Municipal Services Building, 12K Smithfield, Kennedy Town, Hong Kong",114.1286842,22.2817561
"A08","Sai Wan","A0801","Kennedy Town Community Complex (Multi-purpose Function Room)","2/F, 12 Rock Hill Street, Kennedy Town, Hong Kong",114.1290947,22.2817956
"A09","Belcher","A0901","St. James' Settlement Belcher Kindergarten Child Care Centre","The Westwood, 8 Belcher's Street, Western District, Hong Kong",114.1332029,22.2851408
"A10","Shek Tong Tsui","A1001","Shek Tong Tsui Sports Centre","5/F, Shek Tong Tsui Municipal Services Building, 470 Queen's Road West, Hong Kong",114.136164,22.2855509
"A11","Sai Ying Pun","A1101","Central and Western / Islands Social Security Field Unit","3/F, Tung Che Commercial Centre, 246 Des Voeux Road West, Hong Kong",114.1416654,22.2877571
"A11","Sai Ying Pun","A1102","Sun Yat Sen Memorial Park Sports Centre","18 Eastern Street North, Sai Ying Pun, Hong Kong",114.143516,22.2900699
"A12","Sheung Wan","A1201","Sheung Wan Post Office","1/F, Hong Kong Telecom CSL Tower, 322-324 Des Voeux Road Central, Sheung Wan, Hong Kong",114.150187,22.28676
"A13","Tung Wah","A1301","San Wui Commercial Society School","1 Kui In Fong, Sheung Wan, Hong Kong",114.1489119,22.283998
"A13","Tung Wah","A1302","SKH St. Matthew's Primary School","12-20 New Street, Sheung Wan, Hong Kong",114.1466754,22.2857555
"A14","Centre Street","A1401","Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School","G/F, 96 Third Street, Sai Ying Pun, Hong Kong",114.1411278,22.2856837
"A15","Water Street","A1501","Li Sing Primary School","119 High Street, Sai Ying Pun, Hong Kong",114.1398188,22.2853438
"B01","Hennessy","B0101","Hennessy Road Government Primary School","169 Thomson Road, Wan Chai, Hong Kong",114.1755549,22.277554
"B02","Oi Kwan","B0201","Tang Shiu Kin Victoria Government Secondary School","5 Oi Kwan Road, Wan Chai, Hong Kong",114.1789084,22.2769571
"B03","Canal Road","B0301","German Swiss International School Wan Chai Campus (Former: Wanchai School)","30 Oi Kwan Road, Wan Chai, Hong Kong",114.1797891,22.2765084
"B05","Tin Hau","B0501","The International Montessori School - An IMEF School","62 Tin Hau Temple Road, Tin Hau, Hong Kong",114.193798,22.2845069
"B05","Tin Hau","B0502","Covered Carpark of Tsuen Wing Lau, Lai Tak Tsuen","Lai Tak Tsuen, 34 Lai Tak Tsuen Road, Tai Hang, Hong Kong",114.1939449,22.2788096
"B07","Tai Hang","B0701","Wan Chai District Women's Association","Moreton Terrace, Causeway Bay, Hong Kong",114.1890613,22.2795036
"B08","Jardine's Lookout","B0801","CCC Kung Lee College","17 Tai Hang Drive, Causeway Bay, Hong Kong",114.1952249,22.2744143
"B09","Broadwood","B0901","Leighton Hill Community Hall","133 Wong Nai Chung Road, Happy Valley, Hong Kong",114.1833041,22.2752981
"B10","Happy Valley","B1001","Wong Nai Chung Sports Centre","6/F, Wong Nai Chung Municipal Services Building, 2 Yuk Sau Street, Happy Valley, Hong Kong",114.1857846,22.2689666
"B11","Stubbs Road","B1101","Marymount Secondary School","123 Blue Pool Road, Happy Valley, Hong Kong",114.1903101,22.263556
"B11","Stubbs Road","B1102","Hong Kong Children & Youth Services Sing Woo Children & Youth Centre","G/F, 20 Kwai Sing Lane, Happy Valley, Hong Kong",114.1867851,22.2673585
"B12","Southorn","B1201","Wan Chai Activities Centre","LG/F, Wan Chai Market, 258 Queen's Road East, Wan Chai, Hong Kong",114.1736766,22.2750621
"B13","Tai Fat Hau","B1301","Methodist Centre","2/F, 22 Hennessy Road, Wan Chai, Hong Kong",114.168881,22.2774456
"C01","Tai Koo Shing West","C0101","Eastern District JPC Club House","Shop P512-513, Hing On Mansion, 5 Tai Yue Avenue, Taikoo Shing, Hong Kong",114.2141005,22.2863034
"C02","Tai Koo Shing East","C0201","St. Anna Anglo-Chinese Kindergarten","Podium, Nam Hoi Mansion, 2 Tai Wing Avenue, Taikoo Shing, Quarry Bay, Hong Kong",114.2123009,22.2827206
"C02","Tai Koo Shing East","C0202","Tai Koo Shing Post Office","Shop G1020-1022, G/F, Kam Sing Mansion, 1-3 Tai Fung Avenue, Taikoo Shing, Hong Kong",114.218711,22.286734
"C03","Lei King Wan","C0301","Sai Wan Ho Health Centre","G/F, 28 Tai Hong Street, Sai Wan Ho, Hong Kong",114.2236851,22.2846477
"C04","Aldrich Bay","C0401","CCC Kei Wan Primary School (Aldrich Bay)","39 Oi Shun Road, Shau Kei Wan, Hong Kong",114.2259271,22.2814331
"C05","Shaukeiwan","C0501","Shau Kei Wan Post Office","G/F, Perfect Mount Gardens, 1 Po Man Street, Shau Kei Wan, Hong Kong",114.2286245,22.2788285
"C06","A Kung Ngam","C0601","Aldrich Bay Government Primary School","1 Oi Lai Street, Shau Kei Wan, Hong Kong",114.2287059,22.2825334
"C06","A Kung Ngam","C0602","Shau Kei Wan Government Primary School","19 Shau Kei Wan Main Street East, Shau Kei Wan, Hong Kong",114.230957,22.2809335
"C07","Heng Fa Chuen","C0701","Lingnan Secondary School","Lingnan Secondary School, Hong Kong",114.179954,22.268573
"C08","Tsui Wan","C0801","SKH Li Fook Hing Secondary School","Tsui Wan Estate, Tsui Wan Street, Chai Wan, Hong Kong",114.2400845,22.268195
"C10","Siu Sai Wan","C1001","Siu Sai Wan Community Hall","G/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Chai Wan, Hong Kong",114.2495465,22.2635945
"C11","King Yee","C1101","Pui Kiu Primary School","12 Fu Yee Road, Siu Sai Wan, Chai Wan, Hong Kong",114.2500565,22.2641105
"C12","Wan Tsui","C1201","The Salvation Army Centaline Charity Fund School","9 Wah Ha Street, Chai Wan, Hong Kong",114.2375955,22.2619435
"C13","Fei Tsui","C1301","Cognitio College (Hong Kong)","4 Sui Man Road, Chai Wan, Hong Kong",114.233572,22.2619756
"C21","Tanner","C2101","Chan's Creative School (Hong Kong Island)","82 Marble Road, North Point, Hong Kong",114.2027524,22.29201
"C23","Quarry Bay","C2301","North Point Government Primary School","888 King's Road, Quarry Bay, Hong Kong",114.209445,22.288903
"C24","Nam Fung","C2401","Quarry Bay Community Hall","G/F, Quarry Bay Community Complex, 1 Greig Road, Quarry Bay, Hong Kong",114.2139985,22.28375
"C25","Kornhill","C2501","Buddhist Chung Wah Kornhill Primary School","2 Hong Yue Street, Quarry Bay, Hong Kong",114.214099,22.2809541
"C26","Kornhill Garden","C2601","Taikoo Primary School","1100 King's Road, Quarry Bay, Hong Kong",114.2148049,22.2839235
"C27","Hing Tung","C2701","Ching Chung Hing Tung Kindergarten","G/F, Hing Cho House, Hing Tung Estate, Shau Kei Wan, Hong Kong",114.219319,22.281554
"C27","Hing Tung","C2702","Islamic Abu Bakar Chui Memorial Kindergarten","G/F, King Hei House ,Tung Hei Court, Shau Kei Wan, Hong Kong",114.2184424,22.2802091
"C28","Sai Wan Ho","C2801","Sai Wan Ho Sports Centre","2/F, 111 Shau Kei Wan Road, Sai Wan Ho, Hong Kong",114.2225561,22.2818355
"C29","Lower Yiu Tung","C2901","The Endeavourers Leung Lee Sau Yu Memorial Primary School","25 Yiu Hing Road, Shau Kei Wan, Hong Kong",114.2269009,22.2765041
"C29","Lower Yiu Tung","C2902","Shau Kei Wan Kai-fong Welfare Advancement Association Ltd.","103 Nam On Street, Shau Kei Wan, Hong Kong",114.2259551,22.2800285
"C31","Hing Man","C3101","Lutheran Philip House Hing Man Nursery School","Level 3, Community Building, Hing Man Estate, Chai Wan, Hong Kong",114.2360778,22.2678103
"C31","Hing Man","C3102","St. James Lutheran Kindergarten","G/F, Cheuk Wah House, Hing Wah (1) Estate, Chai Wan, Hong Kong",114.2350991,22.2622315
"C32","Lok Hong","C3201","Meng Tak Catholic School","11 Cheung Man Road, Chai Wan, Hong Kong",114.2362581,22.2683459
"C32","Lok Hong","C3202","Methodist Epworth Village Community Centre, Social Welfare - Epworth Integrated Youth Team (Epworth Base)","4/F, 100 Chai Wan Road, Chai Wan, Hong Kong",114.2332679,22.2683841
"C33","Tsui Tak","C3301","Chai Wan Maternal and Child Health Centre","Level 2, Government Office, Block 6, New Jade Garden, 233 Chai Wan Road, Chai Wan, Hong Kong",114.2371589,22.2638249
"C34","Yue Wan","C3401","Yue Wan Community Hall","365 Chai Wan Road, Yue Wan Estate, Chai Wan, Hong Kong",114.241315,22.265102
"C35","Kai Hiu","C3501","Chinese YMCA of Hong Kong - Chai Wan Centre","Units 1-10, G/F, Sui Lok House, Siu Sai Wan Estate, Chai Wan, Hong Kong",114.2484445,22.2613594
"C35","Kai Hiu","C3502","Buddhist To Chi Fat She Yeung Tam Yuen Fong Kindergarten","G/F, Hin Tsui House, Kai Tsui Court, Siu Sai Wan, Hong Kong",114.2471155,22.2633485
"D01","Aberdeen","D0101","Aberdeen Sports Centre","6/F, Aberdeen Municipal Services Building, 203 Aberdeen Main Road, Aberdeen, Hong Kong",114.1544831,22.2493354
"D03","Ap Lei Chau North","D0301","Ap Lei Chau Sports Centre","3/F, Ap Lei Chau Municipal Services Building, 8 Hung Shing Street, Ap Lei Chau, Hong Kong",114.1554216,22.2445
"D04","Lei Tung I","D0401","St. Peter's Catholic Primary School","Phase II, Lei Tung Estate, Ap Lei Chau, Hong Kong",114.1565175,22.2409696
"D05","Lei Tung II","D0501","Lei Tung Community Hall","Lei Tung Estate, Ap Lei Chau, Hong Kong",114.1578885,22.2433743
"D06","South Horizons East","D0601","Precious Blood Primary School (South Horizons)","355 Ap Lei Chau Bridge Road, South Horizons, Ap Lei Chau, Hong Kong",114.148765,22.243902
"D07","South Horizons West","D0701","South Horizons Neighbourhood Community Centre","1/F, East Commercial Block, South Horizons, Ap Lei Chau, Hong Kong",114.155837,22.241076
"D08","Wah Kwai","D0801","Wah Kwai Community Hall","Wah Kwai Estate, Kellett Bay, Hong Kong",114.1391454,22.2509059
"D09","Wah Fu South","D0901","Caritas Chong Yuet Ming Secondary School","Caritas Chong Yuet Ming Secondary School, Hong Kong",114.135341,22.2528461
"D10","Wah Fu North","D1001","TWGHs Hok Shan School","5 Wah Lam Path, Hong Kong",114.1383216,22.252558
"D11","Pokfulam","D1101","Sassoon Road Assembly Hall","6 Sassoon Road, Hong Kong",114.1298709,22.2696132
"D11","Pokfulam","D1102","Playground of Upper Baguio Villa","555 Victoria Road, Hong Kong",114.132689,22.2624431
"D11","Pokfulam","D1103","Cyberport Post Office","100 Cyberport Road, Hong Kong",114.130417,22.259638
"D12","Chi Fu","D1201","Shine Skills Centre (Pokfulam)","147 Pokfulam Road, Hong Kong",114.1360444,22.260245
"D12","Chi Fu","D1202","Chi Fu Community Hall","Chi Fu Landmark, Chi Fu Road, Pokfulam, Hong Kong",114.1387645,22.2578326
"D15","Wong Chuk Hang","D1501","Aberdeen Tennis and Squash Centre","1 Aberdeen Praya Road, Aberdeen, Hong Kong",114.1599731,22.2475175
"D15","Wong Chuk Hang","D1502","Southern District Elderly Community Centre","South Wave Court, 3 Shum Wan Road, Wong Chuk Hang, Hong Kong",114.165979,22.244486
"D16","Bays Area","D1601","South Island School","50 Nam Fung Road, Aberdeen, Hong Kong",114.183151,22.253881
"D16","Bays Area","D1602","Hong Kong International School","6 South Bay Close, Repulse Bay, Hong Kong",114.2011331,22.2389
"D17","Stanley & Shek O","D1701","Stanley Community Hall","Stanley Municipal Services Building, 6 Stanley Market Road, Hong Kong",114.2122794,22.2191376
"D17","Stanley & Shek O","D1702","Medical Clinic of Shek O Health Centre","140 Shek O Village, Shek O, Hong Kong",114.2303745,22.2560113
"E01","Tsim Sha Tsui West","E0101","Yan Oi Tong Chan Cheng Yuk Yee Kindergarten","Room 104, 1/F, 1 Austin Road West, Tsim Sha Tsui, Kowloon",114.162652,22.3045211
"E02","Jordan South","E0201","Kowloon Park Sports Centre","22 Austin Road, Tsim Sha Tsui, Kowloon",114.1703658,22.3018117
"E04","Yau Ma Tei South","E0401","Henry G. Leong Yaumatei Community Centre","60 Public Square Street, Yau Ma Tei, Kowloon",114.1697124,22.3098684
"E05","Charming","E0501","Yaumati Catholic Primary School (Hoi Wang Road)","10 Hoi Wang Road, Yau Ma Tei, Kowloon",114.1639884,22.31331
"E07","Fu Pak","E0701","PLK Camões Tan Siu Lin Primary School","6 Hoi Ting Road, Yau Ma Tei, Kowloon",114.1653811,22.3150715
"E08","Olympic","E0801","Hong Kong Society for the Protection of Children BOC Nursery School","11 Hoi Fai Road, Olympian City, Tai Kok Tsui, Kowloon",114.1582566,22.3193091
"E09","Cherry","E0901","Sharon Lutheran School","18 Cherry Street, Tai Kok Tsui, Kowloon",114.1650761,22.319043
"E10","Tai Kok Tsui South","E1001","Tai Kok Tsui Catholic Primary School","148 Tai Kok Tsui Road, Kowloon",114.1623518,22.3220616
"E11","Tai Kok Tsui North","E1101","CCC Kei Tsun Primary School","150 Tai Kok Tsui Road, Kowloon",114.1623665,22.3225
"E12","Tai Nan","E1201","Fresh Fish Traders' School","33 Sycamore Street, Tai Kok Tsui, Kowloon",114.1640109,22.324683
"E13","Mong Kok North","E1301","SKH Kei Wing Primary School","23 Lai Chi Kok Road, Kowloon",114.1679674,22.3223294
"E14","Mong Kok East","E1401","Boundary Street Sports Centre No.1","200 Sai Yee Street, Mong Kok, Kowloon",114.17053,22.326139
"E16","Yau Ma Tei North","E1601","TWGHs Lo Yu Chik Primary School","51 Pitt Street, Yau Ma Tei, Kowloon",114.1716749,22.3141105
"E17","East Tsim Sha Tsui & King's Park","E1701","Yaumati Kaifong Association School","80 Public Square Street, Yau Ma Tei, Kowloon",114.1717096,22.3101386
"E17","East Tsim Sha Tsui & King's Park","E1702","PolyU Hung Hom Bay Campus","8 Hung Lok Road, Hung Hom, Kowloon",114.1848765,22.303307
"E18","Tsim Sha Tsui Central","E1801","Immigration Department West Kowloon Office","Ground Floor, 28 Kimberley Street, Tsim Sha Tsui, Kowloon",114.173811,22.3004981
"E19","Jordan North","E1901","Jordan Road Government Primary School","1B Nanking Street, Yau Ma Tei, Kowloon",114.1688575,22.3061211
"F01","Po Lai","F0101","Po On Road Sports Centre","1/F, Po On Road Municipal Services Building, 325-329 Po On Road, Sham Shui Po, Kowloon",114.1575069,22.3384841
"F02","Cheung Sha Wan","F0201","Fuk Wing Street Government Primary School","231 Fuk Wing Street, Sham Shui Po, Kowloon",114.1595819,22.3341155
"F03","Nam Cheong North","F0301","Ying Wa Girls' School","101 Castle Peak Road, Sham Shui Po, Kowloon",114.1623393,22.3335036
"F04","Shek Kip Mei","F0401","Shek Kip Mei Community Hall","Block 42, Shek Kip Mei Estate, Nam Cheong Street, Sham Shui Po, Kowloon",114.1570475,22.3266539
"F05","Nam Cheong East","F0501","Tsung Tsin Mission of Hong Kong On Hong Nursery School","Block C, 2/F, Prince Centre, 70 Tai Po Road, Sham Shui Po, Kowloon",114.1672146,22.328556
"F06","Nam Cheong South","F0601","Shamshuipo Kaifong Welfare Advancement Association","G/F, 88 Yu Chau Street, Sham Shui Po, Kowloon",114.1650409,22.327376
"F07","Nam Cheong Central","F0701","Pei Ho Street Sports Centre","6/F, Pei Ho Street Municipal Services Building, 333 Ki Lung Street, Sham Shui Po, Kowloon",114.1610129,22.3292745
"F08","Nam Cheong West","F0801","Nam Cheong District Community Centre","1 Cheong San Lane, Sham Shui Po, Kowloon",114.1590318,22.3261186
"F09","Fu Cheong","F0901","Ying Wa College","1 Ying Wa Street, Sham Shui Po, Kowloon",114.1530348,22.330339
"F10","Lai Kok","F1001","Lai Kok Community Hall","Lai Kok Estate, Cheung Sha Wan, Kowloon",114.156684,22.334119
"F11","Fortune","F1101","SKH Kei Fook Primary School","555 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",114.154328,22.3363515
"F11","Fortune","F1102","Sham Shui Po Government Primary School","101 Sham Mong Road, Sham Shui Po, Kowloon",114.1478145,22.3333221
"F12","Lai Chi Kok South","F1201","SKH St. Mary's Church Mok Hing Yiu College","1 Hoi Lai Street, Sham Shui Po, Kowloon",114.1479561,22.3314185
"F13","Mei Foo South","F1301","Mei Foo Sun Chuen Community Centre","38 Broadway, Stage 2, Mei Foo Sun Chuen, Kowloon",114.1374279,22.336401
